,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Wifi & Connectivity,Recommended
822,Boeing 777,Solo Leisure,Premium Economy,Riyadh to London ,2018-08-01 00:00:00,5.0,5.0,5.0,4.0,3.0,5,0.0,yes
823,A320 / Boeing 787-9,Couple Leisure,Economy Class,Rome to Newark via London,2018-09-01 00:00:00,4.0,4.0,3.0,3.0,4.0,3,0.0,yes
824,Boeing 747-400,Business,Business Class,London Heathrow to New York JFK,2018-09-01 00:00:00,3.0,4.0,2.0,3.0,1.0,3,5.0,no
825,Boeing 777-200,Couple Leisure,First Class,London Heathrow to Dubai,2018-09-01 00:00:00,4.0,5.0,5.0,3.0,4.0,4,2.0,yes
826,A320,Couple Leisure,Economy Class,Heraklion to Gatwick,2018-09-01 00:00:00,2.0,2.0,0.0,0.0,1.0,1,0.0,no
827,Boeing 767,Solo Leisure,Business Class,Madrid to London Heathrow,2018-09-01 00:00:00,3.0,5.0,5.0,0.0,5.0,5,0.0,yes
828,A321,Couple Leisure,Business Class,London Heathrow to Brindisi,2018-09-01 00:00:00,2.0,3.0,2.0,0.0,2.0,3,0.0,no
829,A320,Business,Economy Class,London to Madrid,2018-07-01 00:00:00,2.0,3.0,1.0,0.0,2.0,2,0.0,no
830,None,Couple Leisure,Economy Class,Hamburg to London,2018-09-01 00:00:00,3.0,1.0,0.0,0.0,1.0,3,0.0,no
831,Boeing 747,Solo Leisure,Premium Economy,Glasgow to Miami via London,2018-08-01 00:00:00,3.0,5.0,5.0,2.0,4.0,4,0.0,yes
832,Airbus A32,Solo Leisure,Economy Class,London Heathrow to Budapest,2018-08-01 00:00:00,5.0,5.0,0.0,0.0,4.0,4,0.0,yes
833,A320,Solo Leisure,Economy Class,Budapest to London Heathrow,2018-09-01 00:00:00,4.0,4.0,0.0,0.0,5.0,4,0.0,yes
834,A319 / Boeing 787-9,Family Leisure,Business Class,Pisa to Toronto via London,2018-09-01 00:00:00,4.0,5.0,5.0,4.0,5.0,5,0.0,yes
835,None,Business,Business Class,Madrid to Heathrow,2018-08-01 00:00:00,1.0,1.0,2.0,0.0,2.0,2,0.0,no
836,None,Solo Leisure,Economy Class,Singapore to London,2018-08-01 00:00:00,1.0,1.0,3.0,3.0,2.0,1,0.0,no
837,Boeing 747-400 / A319,Solo Leisure,Economy Class,Washington to Frankfurt via London,2018-08-01 00:00:00,3.0,3.0,2.0,1.0,4.0,2,0.0,no
838,None,Family Leisure,Economy Class,Rome to London,2018-08-01 00:00:00,3.0,3.0,0.0,0.0,3.0,2,0.0,no
839,A380,Solo Leisure,Economy Class,London Heathrow to Hong Kong,2018-08-01 00:00:00,5.0,5.0,3.0,5.0,4.0,3,0.0,yes
840,A318,Solo Leisure,Economy Class,London Heathrow to Düsseldorf,2018-08-01 00:00:00,5.0,4.0,0.0,0.0,5.0,4,0.0,yes
841,A320,Couple Leisure,Business Class,London to Athens,2018-08-01 00:00:00,1.0,3.0,2.0,1.0,2.0,3,1.0,no
842,A380,Family Leisure,First Class,London Heathrow to Singapore,2018-07-01 00:00:00,5.0,5.0,5.0,4.0,5.0,5,0.0,yes
843,Boeing 787,Couple Leisure,Premium Economy,Philadelphia to London,2018-08-01 00:00:00,3.0,1.0,1.0,3.0,4.0,3,0.0,no
844,Boeing 747-400,Family Leisure,Economy Class,London to Las Vegas,2018-07-01 00:00:00,1.0,1.0,1.0,1.0,1.0,1,0.0,no
845,None,Business,Business Class,Zagreb to London,2018-08-01 00:00:00,2.0,2.0,1.0,0.0,2.0,2,0.0,no
846,A380,Family Leisure,Business Class,Los Angeles to Milan via London,2018-08-01 00:00:00,4.0,3.0,3.0,3.0,1.0,1,0.0,no
847,Boeing 777,Solo Leisure,Premium Economy,Toronto to London,2018-08-01 00:00:00,3.0,5.0,2.0,2.0,4.0,3,0.0,yes
848,A380,Couple Leisure,Business Class,San Francisco to London Heathrow,2018-07-01 00:00:00,4.0,5.0,4.0,1.0,4.0,4,0.0,no
849,None,Solo Leisure,Economy Class,London to Dublin,2018-08-01 00:00:00,5.0,5.0,2.0,0.0,4.0,3,0.0,yes
850,A321,Couple Leisure,Economy Class,London to Paris,2018-01-01 00:00:00,3.0,5.0,5.0,0.0,4.0,3,0.0,yes
851,A320,Couple Leisure,Economy Class,Amsterdam to London,2018-06-01 00:00:00,3.0,5.0,4.0,0.0,4.0,4,0.0,yes
852,Boeing 777,Solo Leisure,First Class,New York JFK to London,2018-08-01 00:00:00,4.0,5.0,3.0,0.0,5.0,4,0.0,no
