,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Wifi & Connectivity,Recommended
1659,Boeing 777,Couple Leisure,Premium Economy,BKK to MAN via LHR,2016-12-01 00:00:00,1.0,1.0,1.0,1.0,1.0,1,0.0,no
1660,Boeing 777-200,Couple Leisure,First Class,UVF to LGW,2016-12-01 00:00:00,1.0,3.0,2.0,1.0,4.0,1,0.0,no
1661,A320 / Boeing 767,Business,Economy Class,LHR to EDI,2016-12-01 00:00:00,4.0,3.0,1.0,0.0,4.0,3,0.0,yes
1662,None,Couple Leisure,Business Class,LHR to HKG,2016-12-01 00:00:00,4.0,5.0,5.0,4.0,4.0,4,0.0,yes
1663,Boeing 777,Solo Leisure,Economy Class,LHR to EZE,2016-12-01 00:00:00,1.0,2.0,2.0,1.0,2.0,2,0.0,no
1664,A380,Solo Leisure,Economy Class,HKG to LHR,2016-12-01 00:00:00,1.0,3.0,3.0,1.0,3.0,4,0.0,yes
1665,None,Couple Leisure,Premium Economy,LHR to BKK,2016-11-01 00:00:00,3.0,1.0,2.0,1.0,3.0,2,0.0,no
1666,None,Couple Leisure,Economy Class,IAD to DEL via LHR,2016-12-01 00:00:00,3.0,3.0,2.0,3.0,3.0,3,0.0,no
1667,None,Business,Premium Economy,SAN to SVQ via LHR,2016-12-01 00:00:00,4.0,4.0,1.0,4.0,1.0,1,0.0,no
1668,Boeing 777,Family Leisure,Premium Economy,LHR to PHL,2016-10-01 00:00:00,1.0,1.0,2.0,2.0,1.0,1,1.0,no
1669,Boeing 747,Business,Business Class,DFW to BOM via LHR,2016-11-01 00:00:00,3.0,2.0,2.0,2.0,3.0,3,0.0,no
1670,Boeing 787-900,Solo Leisure,Business Class,LHR to AUS,2016-12-01 00:00:00,2.0,4.0,3.0,3.0,4.0,2,0.0,yes
1671,A380,Business,Business Class,LHR to HKG,2016-12-01 00:00:00,4.0,4.0,4.0,3.0,4.0,5,0.0,yes
1672,None,Business,Premium Economy,MAN to PVG via LHR,2016-12-01 00:00:00,1.0,1.0,1.0,1.0,1.0,1,1.0,no
1673,A380 and Boeing 777,Solo Leisure,Premium Economy,IAD to LHR,2016-12-01 00:00:00,5.0,5.0,5.0,0.0,5.0,5,0.0,yes
1674,Boeing 787,Business,Business Class,CTU to LHR,2016-12-01 00:00:00,2.0,3.0,1.0,2.0,2.0,1,1.0,no
1675,None,Couple Leisure,Economy Class,LGW to MCO,2016-12-01 00:00:00,3.0,2.0,1.0,2.0,3.0,1,0.0,no
1676,Boeing 777,Solo Leisure,Premium Economy,LHR to SEA,2016-12-01 00:00:00,3.0,2.0,2.0,3.0,4.0,3,0.0,yes
1677,None,Solo Leisure,Economy Class,MAN to LHR,2016-11-01 00:00:00,4.0,5.0,4.0,0.0,3.0,4,0.0,yes
1678,None,Solo Leisure,Economy Class,LHR to MAN,2016-11-01 00:00:00,4.0,5.0,4.0,0.0,4.0,4,0.0,yes
1679,None,Business,Premium Economy,NBO to LHR,2016-12-01 00:00:00,2.0,3.0,1.0,3.0,2.0,1,0.0,no
1680,Boeing 777,Solo Leisure,Business Class,SEA to LHR,2016-11-01 00:00:00,4.0,3.0,3.0,4.0,2.0,2,0.0,yes
1681,Boeing 777-200,Couple Leisure,First Class,LGW to UVF,2016-12-01 00:00:00,3.0,2.0,1.0,1.0,1.0,1,0.0,no
1682,Boeing 777-300 / A380,Business,Economy Class,SYD to LHR via SIN,2016-12-01 00:00:00,3.0,2.0,2.0,3.0,4.0,4,0.0,yes
1683,Boeing 747-400,Couple Leisure,Economy Class,LHR to CPT,2016-11-01 00:00:00,1.0,1.0,1.0,2.0,4.0,1,2.0,no
1684,Boeing 787,Couple Leisure,Premium Economy,LHR to YYC,2016-10-01 00:00:00,5.0,5.0,3.0,4.0,5.0,4,4.0,yes
1685,A320,Business,Business Class,LHR to LIS,2016-12-01 00:00:00,1.0,2.0,1.0,1.0,1.0,1,0.0,no
1686,A380 800,Couple Leisure,Economy Class,LHR to HKG,2016-11-01 00:00:00,1.0,2.0,1.0,4.0,3.0,2,3.0,no
1687,Boeing 777,Family Leisure,Economy Class,LHR to BKK,2016-12-01 00:00:00,2.0,2.0,2.0,1.0,4.0,2,1.0,no
1688,A321,Couple Leisure,Business Class,LHR to MAD,2016-12-01 00:00:00,4.0,4.0,4.0,0.0,4.0,3,0.0,yes
1689,Boeing 777,Couple Leisure,Business Class,SIN to  SYD,2016-12-01 00:00:00,2.0,1.0,2.0,2.0,1.0,1,0.0,no
1690,None,Couple Leisure,Economy Class,HKG to LHR,2016-11-01 00:00:00,1.0,1.0,1.0,1.0,1.0,1,0.0,no
1691,None,Couple Leisure,Economy Class,LHR to ARN,2016-12-01 00:00:00,2.0,4.0,1.0,0.0,4.0,3,0.0,yes
1692,A321,Business,Business Class,LHR to ZRH,2016-11-01 00:00:00,1.0,2.0,1.0,1.0,3.0,1,1.0,no
1693,None,Couple Leisure,Business Class,LGW to MRU,2016-11-01 00:00:00,2.0,1.0,2.0,2.0,4.0,1,0.0,no
1694,None,Solo Leisure,Economy Class,LHR to IST,2016-01-01 00:00:00,3.0,3.0,3.0,3.0,1.0,1,0.0,no
1695,A380,Family Leisure,Economy Class,LHR to HKG,2016-11-01 00:00:00,1.0,2.0,0.0,0.0,3.0,2,0.0,no
1696,A380,Business,First Class,SIN to LHR,2016-11-01 00:00:00,5.0,5.0,5.0,4.0,3.0,4,0.0,yes
1697,Boeing 777-200ER,Solo Leisure,Economy Class,JFK to LHR,2016-11-01 00:00:00,4.0,4.0,4.0,3.0,4.0,4,0.0,yes
1698,None,Couple Leisure,Economy Class,LHR to BHD,2016-10-01 00:00:00,3.0,4.0,4.0,0.0,3.0,5,0.0,yes
1699,Boeing 777,Business,First Class,LHR to YYZ,2016-11-01 00:00:00,5.0,5.0,4.0,4.0,5.0,5,0.0,yes
1700,Boeing 787-800,Couple Leisure,Business Class,MAA to LHR,2016-11-01 00:00:00,5.0,5.0,5.0,3.0,3.0,3,3.0,no
1701,A380,Business,Premium Economy,SIN to LHR,2016-11-01 00:00:00,5.0,5.0,5.0,4.0,5.0,5,5.0,yes
1702,Boeing 777,Couple Leisure,Economy Class,TLV to LHR,2016-11-01 00:00:00,3.0,5.0,5.0,4.0,3.0,4,0.0,yes
1703,A320,Solo Leisure,Business Class,RAK to LGW,2016-11-01 00:00:00,4.0,5.0,3.0,0.0,2.0,3,0.0,yes
1704,None,Family Leisure,Economy Class,SYD to SIN,2016-11-01 00:00:00,4.0,2.0,1.0,3.0,1.0,1,0.0,no
1705,None,Business,Economy Class,AMS to LHR,2016-11-01 00:00:00,1.0,1.0,1.0,1.0,1.0,1,0.0,no
1706,Boeing 747-400,Solo Leisure,First Class,LHR to SFO,2016-04-01 00:00:00,3.0,3.0,3.0,3.0,2.0,3,0.0,no
1707,Boeing 777-200,Family Leisure,Economy Class,LHR to YYZ,2016-10-01 00:00:00,3.0,4.0,3.0,3.0,5.0,4,0.0,yes
1708,Boeing 747-400,Business,Business Class,DUS to BOS via LHR,2016-11-01 00:00:00,3.0,5.0,2.0,5.0,3.0,2,0.0,no
1709,A380,Business,First Class,LHR to SIN,2016-11-01 00:00:00,5.0,5.0,5.0,4.0,5.0,5,0.0,yes
1710,None,Business,Premium Economy,LHR to DEL,2016-08-01 00:00:00,1.0,1.0,1.0,1.0,1.0,1,1.0,no
1711,None,Couple Leisure,Economy Class,RAK to LGW,2016-11-01 00:00:00,1.0,5.0,2.0,0.0,1.0,1,0.0,no
1712,A320,Business,Economy Class,LHR to BHD,2016-11-01 00:00:00,4.0,5.0,4.0,0.0,5.0,3,0.0,yes
1713,Boeing 737,Solo Leisure,Economy Class,LHR to KBP,2016-11-01 00:00:00,3.0,4.0,3.0,2.0,4.0,4,2.0,yes
1714,Boeing 747-400,Solo Leisure,First Class,LHR to LAS,2016-11-01 00:00:00,5.0,5.0,5.0,2.0,4.0,4,0.0,yes
1715,Various,Business,Economy Class,BKK to LHR via LAD & ABV,2016-08-01 00:00:00,1.0,1.0,2.0,1.0,2.0,1,0.0,no
1716,None,Family Leisure,Economy Class,LHR to IAH,2016-08-01 00:00:00,1.0,2.0,2.0,4.0,2.0,2,0.0,no
1717,None,Couple Leisure,Premium Economy,LGW to ANU,2016-09-01 00:00:00,3.0,1.0,1.0,2.0,3.0,1,0.0,no
1718,A321,Business,Economy Class,LHR to DME,2016-11-01 00:00:00,3.0,2.0,1.0,4.0,4.0,4,0.0,yes
1719,Boeing 777,Business,Economy Class,LGW to BGI,2016-10-01 00:00:00,2.0,1.0,1.0,2.0,4.0,1,0.0,no
1720,A380,Couple Leisure,First Class,JNB to LHR,2016-11-01 00:00:00,5.0,3.0,1.0,3.0,2.0,1,0.0,no
1721,A380,Couple Leisure,Premium Economy,MIA to LHR,2016-11-01 00:00:00,5.0,4.0,4.0,5.0,3.0,4,0.0,yes
1722,Boeing 787-900,Couple Leisure,Premium Economy,LHR to BWI,2016-11-01 00:00:00,5.0,5.0,4.0,5.0,5.0,5,0.0,yes
1723,A320,Solo Leisure,Economy Class,SOF to LHR,2016-11-01 00:00:00,1.0,2.0,1.0,0.0,1.0,1,0.0,no
1724,Boeing 787-800 / 777-200,Couple Leisure,First Class,YYZ to LHR,2016-11-01 00:00:00,4.0,4.0,1.0,4.0,1.0,2,0.0,no
1725,None,Business,Economy Class,LHR to KUL,2016-10-01 00:00:00,3.0,4.0,3.0,4.0,2.0,3,0.0,yes
1726,None,Business,Business Class,CPT to DUR,2016-11-01 00:00:00,1.0,2.0,1.0,0.0,3.0,1,0.0,no
1727,A380,Couple Leisure,First Class,LHR to IAD,2016-11-01 00:00:00,5.0,5.0,4.0,4.0,5.0,4,0.0,yes
1728,None,Family Leisure,Economy Class,BCN to LHR,2016-11-01 00:00:00,2.0,2.0,2.0,1.0,1.0,4,0.0,no
1729,Boeing 747-400,Couple Leisure,First Class,DFW to LHR,2016-11-01 00:00:00,5.0,5.0,4.0,4.0,4.0,4,0.0,yes
1730,None,Solo Leisure,Economy Class,LHR to TXL,2016-09-01 00:00:00,3.0,5.0,2.0,0.0,5.0,3,0.0,yes
1731,A320,Business,Economy Class,LHR to LIS,2016-11-01 00:00:00,5.0,2.0,1.0,0.0,1.0,2,0.0,no
1732,A380-800,Family Leisure,Economy Class,LHR to MIA,2016-10-01 00:00:00,3.0,3.0,1.0,1.0,2.0,2,0.0,no
1733,A320,Business,Economy Class,LIS to LHR,2016-11-01 00:00:00,5.0,5.0,5.0,0.0,5.0,5,0.0,yes
1734,Boeing 787,Family Leisure,First Class,LHR to DXB,2016-11-01 00:00:00,3.0,4.0,2.0,3.0,2.0,2,0.0,no
1735,Boeing 777,Couple Leisure,First Class,DXB to LHR,2016-11-01 00:00:00,3.0,4.0,1.0,3.0,2.0,2,0.0,no
1736,A320,Solo Leisure,Business Class,LGW to ALC,2016-11-01 00:00:00,2.0,2.0,3.0,0.0,3.0,3,0.0,yes
1737,Boeing 777-200,Solo Leisure,Premium Economy,LHR to BKK,2016-11-01 00:00:00,2.0,2.0,1.0,1.0,2.0,2,1.0,no
1738,Boeing 777,Couple Leisure,Premium Economy,LGW to BGI,2016-11-01 00:00:00,1.0,1.0,1.0,3.0,1.0,1,0.0,no
1739,None,Solo Leisure,Economy Class,DUB to LCY,2016-10-01 00:00:00,5.0,5.0,4.0,0.0,5.0,3,0.0,yes
1740,Boeing 747-400 / A380,Solo Leisure,Economy Class,JNB to CLT via LHR,2016-11-01 00:00:00,1.0,1.0,3.0,2.0,1.0,3,0.0,no
1741,A380,Couple Leisure,First Class,LHR to LAX,2016-10-01 00:00:00,5.0,5.0,5.0,5.0,4.0,5,0.0,yes
1742,Boeing 777,Couple Leisure,Premium Economy,MRU to LGW,2016-11-01 00:00:00,2.0,1.0,1.0,1.0,3.0,1,0.0,no
1743,A320,Solo Leisure,Economy Class,ATH to LHR,2016-11-01 00:00:00,3.0,5.0,1.0,0.0,5.0,1,0.0,no
1744,Boeing 787-9,Couple Leisure,First Class,LHR to KUL,2016-10-01 00:00:00,3.0,4.0,3.0,3.0,4.0,3,0.0,yes
1745,None,Solo Leisure,Economy Class,LGW to LIM,2016-08-01 00:00:00,1.0,1.0,2.0,1.0,3.0,2,0.0,no
1746,Boeing 767-300,Business,Economy Class,LCA to LHR,2016-11-01 00:00:00,2.0,2.0,1.0,1.0,2.0,1,0.0,no
1747,Boeing 777-200,Family Leisure,Business Class,LGW to MCO,2016-11-01 00:00:00,1.0,1.0,1.0,1.0,1.0,1,1.0,no
1748,Boeing 777,Solo Leisure,Economy Class,LHR to BKK,2016-11-01 00:00:00,3.0,4.0,1.0,3.0,3.0,3,0.0,yes
1749,A319,Business,Business Class,LHR to GVA,2016-11-01 00:00:00,2.0,5.0,1.0,0.0,4.0,2,0.0,no
1750,A380-800,Couple Leisure,Economy Class,LHR to LAX,2016-10-01 00:00:00,4.0,5.0,4.0,4.0,4.0,4,0.0,yes
1751,Boeing 777,Couple Leisure,Premium Economy,UVF  to LGW,2016-11-01 00:00:00,2.0,2.0,1.0,2.0,5.0,1,0.0,no
1752,None,Couple Leisure,Economy Class,LHR to BOS,2016-10-01 00:00:00,2.0,3.0,2.0,4.0,4.0,2,3.0,no
1753,A319,Family Leisure,Economy Class,LGW to VLC,2016-10-01 00:00:00,3.0,4.0,3.0,0.0,4.0,4,0.0,yes
1754,None,Solo Leisure,Economy Class,LGW to SVQ via MAD,2016-11-01 00:00:00,3.0,4.0,2.0,1.0,3.0,1,0.0,no
1755,Boeing 747-400,Couple Leisure,Economy Class,LHR to JFK,2016-10-01 00:00:00,2.0,3.0,2.0,3.0,1.0,3,0.0,no
1756,A320,Business,Business Class,LHR to OTP,2016-10-01 00:00:00,2.0,4.0,1.0,0.0,2.0,1,0.0,no
1757,Boeing 787,Solo Leisure,Economy Class,ICN to LHR,2016-10-01 00:00:00,4.0,5.0,5.0,5.0,4.0,4,0.0,yes
1758,A380 and Boeing 737-800,Solo Leisure,Economy Class,LHR to CPT via JNB,2016-10-01 00:00:00,4.0,5.0,4.0,4.0,3.0,5,0.0,yes
1759,A380,Couple Leisure,Business Class,HKG to LHR,2016-10-01 00:00:00,3.0,3.0,2.0,1.0,3.0,2,0.0,no
1760,Boeing 747-400,Solo Leisure,Business Class,LHR to ORD,2016-10-01 00:00:00,5.0,5.0,5.0,5.0,5.0,5,0.0,yes
1761,Boeing 747-400,Solo Leisure,Economy Class,YVR to LHR,2016-10-01 00:00:00,3.0,2.0,1.0,2.0,2.0,2,0.0,no
1762,None,Couple Leisure,Economy Class,LHR to AGP,2016-10-01 00:00:00,3.0,4.0,1.0,0.0,2.0,3,0.0,yes
1763,A380,Couple Leisure,Premium Economy,LHR to MIA,2016-10-01 00:00:00,4.0,5.0,4.0,1.0,5.0,4,0.0,yes
1764,"Boeing 747-400,  A320, A319",Solo Leisure,Economy Class,KWI to EDI via LHR,2016-10-01 00:00:00,5.0,5.0,4.0,5.0,5.0,5,0.0,yes
1765,None,Business,Economy Class,EDI to LGW,2016-10-01 00:00:00,3.0,5.0,3.0,0.0,5.0,5,0.0,yes
1766,None,Business,Premium Economy,SIN to BCN via LHR,2016-10-01 00:00:00,3.0,1.0,2.0,2.0,2.0,3,0.0,no
1767,A319,Business,Business Class,LHR to BRU,2016-10-01 00:00:00,1.0,1.0,1.0,1.0,1.0,1,0.0,no
1768,None,Couple Leisure,Economy Class,ATH to LHR,2016-10-01 00:00:00,3.0,5.0,1.0,0.0,3.0,1,0.0,no
1769,A320,Business,Business Class,MLA to LGW,2016-10-01 00:00:00,3.0,5.0,3.0,0.0,1.0,3,0.0,yes
1770,Boeing 777-200,Couple Leisure,Business Class,BKK to LHR,2016-10-01 00:00:00,3.0,3.0,2.0,3.0,3.0,3,0.0,no
1771,A319,Family Leisure,Business Class,LGW to Pisa,2016-10-01 00:00:00,1.0,4.0,2.0,0.0,1.0,1,0.0,no
1772,None,Solo Leisure,Premium Economy,CNX  to LHR via BKK,2016-09-01 00:00:00,3.0,4.0,3.0,2.0,1.0,2,0.0,no
1773,Boeing 747 400,Couple Leisure,Business Class,LHR to LAX,2016-09-01 00:00:00,5.0,3.0,4.0,2.0,5.0,4,0.0,yes
1774,Boeing 777-300,Business,Premium Economy,HND to LHR,2016-10-01 00:00:00,2.0,2.0,1.0,3.0,3.0,2,0.0,no
1775,Boeing 747,Solo Leisure,First Class,LHR to BOS,2016-10-01 00:00:00,4.0,4.0,3.0,4.0,4.0,4,3.0,yes
1776,A380,Couple Leisure,Economy Class,SFO to MAN via LHR,2016-10-01 00:00:00,2.0,1.0,1.0,1.0,1.0,1,0.0,no
1777,Boeing 777-200,Couple Leisure,Economy Class,LHR to SFO,2016-10-01 00:00:00,1.0,1.0,2.0,1.0,2.0,1,0.0,no
1778,A380,Business,First Class,LHR to SIN,2016-10-01 00:00:00,4.0,4.0,3.0,3.0,1.0,1,0.0,no
1779,None,Solo Leisure,Economy Class,BRI to LGW,2016-10-01 00:00:00,1.0,1.0,1.0,0.0,3.0,1,0.0,no
1780,"Boeing 747, A380",Business,First Class,JNB to ATH via LHR,2016-06-01 00:00:00,3.0,4.0,2.0,3.0,4.0,1,0.0,no
1781,None,Solo Leisure,Economy Class,BKK to LHR,2016-09-01 00:00:00,2.0,2.0,3.0,1.0,3.0,2,0.0,no
1782,A320,Couple Leisure,Business Class,LGW to MLA,2016-10-01 00:00:00,1.0,1.0,3.0,0.0,1.0,1,0.0,no
1783,None,Solo Leisure,Premium Economy,SYD to LHR via SIN,2016-10-01 00:00:00,2.0,1.0,1.0,2.0,2.0,1,0.0,no
1784,None,Solo Leisure,Business Class,JFK to LHR,2016-10-01 00:00:00,1.0,3.0,1.0,1.0,1.0,1,0.0,no
1785,A319,Family Leisure,Economy Class,LGW to NCE,2016-10-01 00:00:00,3.0,3.0,2.0,0.0,3.0,3,0.0,no
1786,Boeing 787-9,Solo Leisure,First Class,LHR to KUL,2016-08-01 00:00:00,4.0,1.0,1.0,1.0,2.0,2,0.0,no
1787,A321-200,Solo Leisure,Economy Class,PMI to LHR,2016-10-01 00:00:00,5.0,5.0,5.0,0.0,5.0,5,0.0,yes
1788,Boeing 787,Couple Leisure,Economy Class,LHR to ICN,2016-10-01 00:00:00,1.0,4.0,4.0,5.0,3.0,3,4.0,no
1789,Boeing 777 / A320,Couple Leisure,Economy Class,SEA to PRG via LHR,2016-09-01 00:00:00,3.0,1.0,1.0,3.0,1.0,2,0.0,no
1790,A380,Family Leisure,Economy Class,SIN to LHR,2016-08-01 00:00:00,1.0,2.0,1.0,1.0,2.0,2,2.0,no
1791,None,Solo Leisure,Economy Class,LHR to BUD,2016-10-01 00:00:00,1.0,1.0,1.0,0.0,1.0,1,0.0,no
1792,A380,Couple Leisure,First Class,IAD to NBO via LHR,2016-09-01 00:00:00,2.0,4.0,4.0,3.0,2.0,3,0.0,no
1793,A320,Family Leisure,Economy Class,AGP to LGW,2016-10-01 00:00:00,2.0,4.0,1.0,0.0,4.0,1,0.0,no
1794,Boeing 777,Couple Leisure,Business Class,LGW to MRU,2016-10-01 00:00:00,3.0,4.0,2.0,0.0,4.0,2,0.0,no
1795,None,Solo Leisure,Economy Class,DBV to LGW,2016-10-01 00:00:00,2.0,4.0,1.0,1.0,2.0,2,1.0,no
1796,Boeing 787-8 / A320,Couple Leisure,Business Class,YYC to FCO via LHR,2016-10-01 00:00:00,2.0,5.0,5.0,3.0,1.0,1,0.0,no
1797,None,Couple Leisure,Economy Class,LHR to GVA,2016-10-01 00:00:00,4.0,2.0,3.0,3.0,2.0,3,0.0,no
1798,None,Family Leisure,Economy Class,LCY to AGP,2016-09-01 00:00:00,3.0,3.0,2.0,0.0,1.0,1,0.0,no
1799,Boeing 747-400,Solo Leisure,Economy Class,LHR to DEN,2016-10-01 00:00:00,3.0,2.0,1.0,1.0,3.0,3,0.0,yes
1800,Boeing 777,Business,First Class,DXB to DUB via LHR,2016-07-01 00:00:00,4.0,4.0,2.0,2.0,1.0,1,1.0,no
1801,Boeing 747-400,Couple Leisure,Economy Class,LAS to LHR,2016-10-01 00:00:00,2.0,2.0,2.0,1.0,4.0,1,1.0,no
1802,Boeing 747,Solo Leisure,Economy Class,BOS to LHR,2016-10-01 00:00:00,4.0,5.0,4.0,4.0,2.0,4,0.0,yes
1803,A320,Solo Leisure,Economy Class,LHR to LIS,2016-10-01 00:00:00,5.0,5.0,4.0,0.0,4.0,5,0.0,yes
1804,Boeing 777 / 747,Business,Premium Economy,YYZ to LIS via LHR,2016-05-01 00:00:00,3.0,4.0,1.0,1.0,4.0,3,0.0,no
1805,Boeing 777,Couple Leisure,Premium Economy,LHR to ATL,2016-10-01 00:00:00,3.0,2.0,3.0,3.0,2.0,3,0.0,no
1806,Boeing 777,Couple Leisure,Economy Class,BOS to LHR,2016-09-01 00:00:00,3.0,4.0,2.0,5.0,1.0,4,0.0,yes
1807,None,Business,Economy Class,JFK to DUS via LHR,2016-10-01 00:00:00,3.0,2.0,3.0,4.0,2.0,2,0.0,no
1808,A380,Couple Leisure,Business Class,JNB to LHR,2016-09-01 00:00:00,1.0,2.0,1.0,1.0,3.0,2,1.0,no
1809,A319,Couple Leisure,Economy Class,LHR to BGO,2016-09-01 00:00:00,3.0,4.0,3.0,0.0,3.0,3,0.0,yes
1810,Boeing 777,Couple Leisure,Economy Class,LGW to MRU,2016-09-01 00:00:00,3.0,1.0,1.0,2.0,3.0,2,0.0,no
1811,None,Couple Leisure,Business Class,CDG to BKK via LHR,2016-09-01 00:00:00,1.0,1.0,1.0,0.0,4.0,3,0.0,no
1812,None,Couple Leisure,Economy Class,GLA to ZRH via LCY,2016-07-01 00:00:00,3.0,3.0,3.0,1.0,1.0,1,1.0,no
1813,Boeing 767,Family Leisure,Economy Class,LCA to LHR,2016-09-01 00:00:00,3.0,3.0,3.0,1.0,2.0,2,0.0,no
1814,A380,Couple Leisure,First Class,SIN to LHR,2016-09-01 00:00:00,4.0,5.0,4.0,0.0,4.0,4,0.0,yes
1815,Boeing 777,Family Leisure,Economy Class,SJO to LGW,2016-09-01 00:00:00,1.0,3.0,1.0,1.0,3.0,3,1.0,no
1816,Boeing 777-200,Couple Leisure,Business Class,LHR to BKK,2016-09-01 00:00:00,3.0,3.0,2.0,3.0,5.0,3,0.0,no
1817,Boeing 777,Couple Leisure,First Class,MEL to SIN via SYD,2016-09-01 00:00:00,3.0,4.0,4.0,4.0,5.0,4,0.0,yes
1818,Boeing 767,Couple Leisure,Business Class,LHR to AMS,2016-09-01 00:00:00,3.0,4.0,3.0,0.0,5.0,4,0.0,yes
1819,Boeing 787,Solo Leisure,Premium Economy,SJC to LHR,2016-09-01 00:00:00,4.0,3.0,3.0,4.0,1.0,4,0.0,yes
1820,A319,Solo Leisure,Economy Class,LGW to OPO,2016-09-01 00:00:00,4.0,4.0,2.0,0.0,3.0,4,0.0,yes
1821,Boeing 747-400 / 777,Solo Leisure,Business Class,BAH to BOS via LHR,2016-09-01 00:00:00,2.0,2.0,3.0,2.0,3.0,3,0.0,no
1822,Boeing 777,Solo Leisure,Business Class,LGW to JFK,2016-09-01 00:00:00,2.0,5.0,4.0,4.0,3.0,4,0.0,yes
1823,A320,Couple Leisure,Economy Class,LHR to KGS,2016-09-01 00:00:00,3.0,5.0,3.0,0.0,4.0,4,0.0,yes
1824,A380,Couple Leisure,Economy Class,LHR to JNB,2016-09-01 00:00:00,4.0,5.0,3.0,4.0,4.0,5,0.0,yes
1825,Boeing 777-300,Business,Premium Economy,ATL to GVA via LHR,2016-09-01 00:00:00,2.0,5.0,1.0,1.0,1.0,1,1.0,no
1826,Boeing 777-300,Couple Leisure,Economy Class,ATL to LHR,2016-09-01 00:00:00,1.0,2.0,1.0,4.0,1.0,1,0.0,no
1827,Boeing 787,Business,Premium Economy,AUH to LHR,2016-09-01 00:00:00,4.0,4.0,4.0,4.0,3.0,4,0.0,yes
1828,Boeing 777-200,Family Leisure,Premium Economy,London to JFK,2016-09-01 00:00:00,2.0,2.0,1.0,1.0,3.0,2,0.0,no
1829,A380,Business,Economy Class,LHR to JNB,2016-09-01 00:00:00,3.0,2.0,3.0,2.0,3.0,2,0.0,yes
1830,Boeing 787,Family Leisure,Economy Class,AUH to LHR,2016-09-01 00:00:00,2.0,1.0,2.0,3.0,1.0,3,0.0,no
1831,A319,Family Leisure,Economy Class,LGW to AGP,2016-09-01 00:00:00,2.0,5.0,1.0,0.0,2.0,3,0.0,no
1832,None,Solo Leisure,Economy Class,BUD to LHR,2016-09-01 00:00:00,2.0,1.0,1.0,0.0,1.0,1,0.0,no
1833,None,Solo Leisure,Business Class,LHR to AMS,2016-09-01 00:00:00,4.0,5.0,4.0,0.0,5.0,4,0.0,yes
1834,Boeing 747,Family Leisure,Economy Class,LHR to SEA,2016-08-01 00:00:00,3.0,4.0,1.0,4.0,1.0,2,0.0,no
1835,None,Solo Leisure,Economy Class,LHR to BUD,2016-09-01 00:00:00,2.0,1.0,1.0,0.0,1.0,1,0.0,no
1836,Boeing 767,Solo Leisure,Business Class,LHR to ATH,2016-09-01 00:00:00,1.0,1.0,1.0,3.0,3.0,1,0.0,no
1837,None,Couple Leisure,Economy Class,LGW to BIO,2016-08-01 00:00:00,3.0,4.0,3.0,1.0,2.0,2,1.0,no
1838,Boeing 767,Business,Business Class,LHR to IST,2016-09-01 00:00:00,4.0,5.0,4.0,2.0,4.0,4,0.0,yes
1839,None,Solo Leisure,Economy Class,MAD to PER via SIN,2016-08-01 00:00:00,2.0,3.0,2.0,1.0,3.0,2,0.0,no
1840,Boeing 747-400,Couple Leisure,First Class,MIA to LHR,2016-09-01 00:00:00,1.0,1.0,1.0,1.0,1.0,1,0.0,no
1841,A320,Couple Leisure,Business Class,LHR to KRK,2016-09-01 00:00:00,1.0,2.0,1.0,0.0,1.0,1,0.0,no
1842,Boeing 747,Business,Economy Class,LHR to DEN,2016-09-01 00:00:00,1.0,3.0,4.0,1.0,4.0,2,0.0,no
1843,Boeing 747-400,Solo Leisure,Economy Class,LHR to CPT,2016-09-01 00:00:00,3.0,4.0,4.0,2.0,5.0,4,0.0,yes
1844,None,Solo Leisure,Economy Class,LHR to MIA,2016-09-01 00:00:00,2.0,3.0,3.0,2.0,2.0,4,0.0,no
1845,A380,Couple Leisure,Economy Class,LHR to JNB,2016-08-01 00:00:00,1.0,1.0,1.0,2.0,2.0,1,0.0,no
1846,None,Solo Leisure,Economy Class,NAP to LGW,2016-09-01 00:00:00,2.0,3.0,1.0,0.0,2.0,2,0.0,no
1847,A320,Family Leisure,Economy Class,LHR to LCA,2016-09-01 00:00:00,3.0,4.0,1.0,1.0,3.0,3,0.0,yes
1848,A320,Couple Leisure,Business Class,DBV to LGW,2016-09-01 00:00:00,3.0,3.0,1.0,0.0,2.0,2,0.0,no
1849,Boeing 777,Business,First Class,ATL to LHR,2016-08-01 00:00:00,3.0,4.0,2.0,2.0,1.0,1,0.0,no
1850,A319,Couple Leisure,Economy Class,LHR to DUB,2016-09-01 00:00:00,4.0,4.0,2.0,0.0,4.0,4,0.0,yes
1851,A320,Couple Leisure,Business Class,LGW to DBV,2016-09-01 00:00:00,3.0,5.0,3.0,0.0,3.0,3,0.0,yes
1852,A380-800,Solo Leisure,Business Class,LHR to HKG,2016-09-01 00:00:00,4.0,4.0,3.0,4.0,1.0,3,0.0,no
1853,A319,Solo Leisure,Business Class,AMS to LHR,2016-09-01 00:00:00,3.0,5.0,4.0,0.0,3.0,3,0.0,yes
1854,None,Couple Leisure,Economy Class,OPO to LGW,2016-09-01 00:00:00,4.0,3.0,1.0,1.0,3.0,4,0.0,no
